Batch       | Batch_float | loss        | acc        
------------+-------------+-------------+------------
200         | 10.0079     | 0.265432    | 0.895469   
400         | 10.0238     | 0.253164    | 0.900625   
600         | 10.0396     | 0.25022     | 0.904687   
800         | 10.0554     | 0.258857    | 0.895      
1000        | 10.0713     | 0.260883    | 0.897656   
1200        | 10.0871     | 0.24989     | 0.901719   
1400        | 10.103      | 0.257507    | 0.899375   
1600        | 10.1188     | 0.266176    | 0.894219   
1800        | 10.1346     | 0.262382    | 0.8925     
2000        | 10.1505     | 0.244419    | 0.906875   
2200        | 10.1663     | 0.257387    | 0.89875    
2400        | 10.1822     | 0.259321    | 0.899062   
2600        | 10.198      | 0.259544    | 0.898281   
2800        | 10.2138     | 0.258787    | 0.899219   
3000        | 10.2297     | 0.250643    | 0.902969   
3200        | 10.2455     | 0.257323    | 0.898281   
3400        | 10.2614     | 0.255383    | 0.903594   
3600        | 10.2772     | 0.254204    | 0.902031   
3800        | 10.293      | 0.256774    | 0.898438   
4000        | 10.3089     | 0.253426    | 0.90125    
4200        | 10.3247     | 0.250748    | 0.905469   
4400        | 10.3406     | 0.257908    | 0.895312   
4600        | 10.3564     | 0.263827    | 0.892969   
4800        | 10.3722     | 0.245269    | 0.905156   
5000        | 10.3881     | 0.251677    | 0.900781   
5200        | 10.4039     | 0.253637    | 0.896406   
5400        | 10.4198     | 0.26341     | 0.899219   
5600        | 10.4356     | 0.262822    | 0.895938   
5800        | 10.4514     | 0.259826    | 0.894844   
6000        | 10.4673     | 0.255872    | 0.902031   
6200        | 10.4831     | 0.253747    | 0.89875    
6400        | 10.499      | 0.263951    | 0.895312   
6600        | 10.5148     | 0.256965    | 0.898438   
6800        | 10.5307     | 0.263781    | 0.894375   
7000        | 10.5465     | 0.253824    | 0.902031   
7200        | 10.5623     | 0.261636    | 0.892813   
7400        | 10.5782     | 0.257775    | 0.901875   
7600        | 10.594      | 0.259036    | 0.895312   
7800        | 10.6099     | 0.242206    | 0.9075     
8000        | 10.6257     | 0.244458    | 0.901719   
8200        | 10.6415     | 0.252604    | 0.901094   
8400        | 10.6574     | 0.253881    | 0.9025     
8600        | 10.6732     | 0.255985    | 0.898125   
8800        | 10.6891     | 0.25777     | 0.896719   
9000        | 10.7049     | 0.232393    | 0.911094   
9200        | 10.7207     | 0.250568    | 0.898594   
9400        | 10.7366     | 0.244234    | 0.902031   
9600        | 10.7524     | 0.245417    | 0.901094   
9800        | 10.7683     | 0.266076    | 0.897031   
10000       | 10.7841     | 0.24572     | 0.903438   
10200       | 10.7999     | 0.26189     | 0.896094   
10400       | 10.8158     | 0.257162    | 0.895625   
10600       | 10.8316     | 0.243361    | 0.903906   
10800       | 10.8475     | 0.25933     | 0.899375   
11000       | 10.8633     | 0.240623    | 0.903438   
11200       | 10.8791     | 0.255005    | 0.902344   
11400       | 10.895      | 0.248309    | 0.902969   
11600       | 10.9108     | 0.247254    | 0.9025     
11800       | 10.9267     | 0.239814    | 0.90125    
12000       | 10.9425     | 0.250455    | 0.903281   
12200       | 10.9583     | 0.238184    | 0.907969   
12400       | 10.9742     | 0.249071    | 0.900156   
12600       | 10.99       | 0.244727    | 0.904844   
