Batch       | Batch_float | loss        | acc        
------------+-------------+-------------+------------
200         | 8.00792     | 0.268891    | 0.890781   
400         | 8.02376     | 0.265638    | 0.895469   
600         | 8.0396      | 0.27166     | 0.893281   
800         | 8.05544     | 0.265406    | 0.897188   
1000        | 8.07128     | 0.263951    | 0.892969   
1200        | 8.08712     | 0.259339    | 0.895625   
1400        | 8.10296     | 0.257971    | 0.897813   
1600        | 8.1188      | 0.261863    | 0.899219   
1800        | 8.13464     | 0.265224    | 0.900625   
2000        | 8.15048     | 0.263336    | 0.892344   
2200        | 8.16632     | 0.267717    | 0.897656   
2400        | 8.18216     | 0.24607     | 0.905      
2600        | 8.198       | 0.268766    | 0.894844   
2800        | 8.21384     | 0.262498    | 0.897031   
3000        | 8.22968     | 0.281836    | 0.888906   
3200        | 8.24553     | 0.282386    | 0.886406   
3400        | 8.26137     | 0.263226    | 0.895625   
3600        | 8.27721     | 0.256757    | 0.900156   
3800        | 8.29305     | 0.265571    | 0.894531   
4000        | 8.30889     | 0.268715    | 0.893125   
4200        | 8.32473     | 0.272408    | 0.892344   
4400        | 8.34057     | 0.260606    | 0.892969   
4600        | 8.35641     | 0.269997    | 0.892031   
4800        | 8.37225     | 0.269169    | 0.89375    
5000        | 8.38809     | 0.264165    | 0.898281   
5200        | 8.40393     | 0.272548    | 0.889375   
5400        | 8.41977     | 0.273972    | 0.894687   
5600        | 8.43561     | 0.276158    | 0.88625    
5800        | 8.45145     | 0.276851    | 0.889531   
6000        | 8.46729     | 0.265837    | 0.895781   
6200        | 8.48313     | 0.276427    | 0.891094   
6400        | 8.49897     | 0.262848    | 0.897188   
6600        | 8.51481     | 0.270588    | 0.892969   
6800        | 8.53065     | 0.266778    | 0.891094   
7000        | 8.54649     | 0.265861    | 0.893281   
7200        | 8.56233     | 0.257679    | 0.897188   
7400        | 8.57817     | 0.262575    | 0.897188   
7600        | 8.59401     | 0.278764    | 0.893125   
7800        | 8.60985     | 0.28011     | 0.89125    
8000        | 8.62569     | 0.271026    | 0.893125   
8200        | 8.64153     | 0.264481    | 0.892813   
8400        | 8.65737     | 0.270525    | 0.89       
8600        | 8.67321     | 0.267743    | 0.895312   
8800        | 8.68905     | 0.258919    | 0.900156   
9000        | 8.70489     | 0.272943    | 0.894375   
9200        | 8.72073     | 0.269429    | 0.895938   
9400        | 8.73658     | 0.271751    | 0.892188   
9600        | 8.75242     | 0.265334    | 0.892188   
9800        | 8.76826     | 0.261721    | 0.899531   
10000       | 8.7841      | 0.269845    | 0.892656   
10200       | 8.79994     | 0.274148    | 0.890781   
10400       | 8.81578     | 0.262254    | 0.899375   
10600       | 8.83162     | 0.27401     | 0.888125   
10800       | 8.84746     | 0.252392    | 0.903125   
11000       | 8.8633      | 0.276557    | 0.891875   
11200       | 8.87914     | 0.27944     | 0.888906   
11400       | 8.89498     | 0.265797    | 0.899062   
11600       | 8.91082     | 0.261523    | 0.893906   
11800       | 8.92666     | 0.266017    | 0.894844   
12000       | 8.9425      | 0.254744    | 0.901563   
12200       | 8.95834     | 0.26297     | 0.894062   
12400       | 8.97418     | 0.264014    | 0.897344   
12600       | 8.99002     | 0.255847    | 0.895781   
