Batch       | Batch_float | loss        | acc        
------------+-------------+-------------+------------
200         | 11.0079     | 0.249282    | 0.902656   
400         | 11.0238     | 0.258931    | 0.895938   
600         | 11.0396     | 0.239216    | 0.906406   
800         | 11.0554     | 0.251231    | 0.901719   
1000        | 11.0713     | 0.255308    | 0.900781   
1200        | 11.0871     | 0.237206    | 0.904687   
1400        | 11.103      | 0.248953    | 0.901875   
1600        | 11.1188     | 0.237044    | 0.906406   
1800        | 11.1346     | 0.242471    | 0.902656   
2000        | 11.1505     | 0.232383    | 0.906406   
2200        | 11.1663     | 0.233798    | 0.911406   
2400        | 11.1822     | 0.247595    | 0.895781   
2600        | 11.198      | 0.25047     | 0.89625    
2800        | 11.2138     | 0.241284    | 0.90375    
3000        | 11.2297     | 0.248259    | 0.902344   
3200        | 11.2455     | 0.241161    | 0.902969   
3400        | 11.2614     | 0.245203    | 0.901563   
3600        | 11.2772     | 0.241493    | 0.900625   
3800        | 11.293      | 0.245991    | 0.900625   
4000        | 11.3089     | 0.247506    | 0.903906   
4200        | 11.3247     | 0.239531    | 0.903594   
4400        | 11.3406     | 0.253984    | 0.897188   
4600        | 11.3564     | 0.257158    | 0.901094   
4800        | 11.3722     | 0.248737    | 0.898906   
5000        | 11.3881     | 0.248031    | 0.906719   
5200        | 11.4039     | 0.252037    | 0.902188   
5400        | 11.4198     | 0.247548    | 0.898281   
5600        | 11.4356     | 0.255091    | 0.895781   
5800        | 11.4514     | 0.244178    | 0.905469   
6000        | 11.4673     | 0.238776    | 0.9075     
6200        | 11.4831     | 0.238238    | 0.902969   
6400        | 11.499      | 0.23102     | 0.908125   
6600        | 11.5148     | 0.235888    | 0.907813   
6800        | 11.5307     | 0.252898    | 0.901563   
7000        | 11.5465     | 0.24386     | 0.905937   
7200        | 11.5623     | 0.240173    | 0.902656   
7400        | 11.5782     | 0.244829    | 0.903125   
7600        | 11.594      | 0.237363    | 0.901719   
7800        | 11.6099     | 0.245736    | 0.903281   
8000        | 11.6257     | 0.249709    | 0.899687   
8200        | 11.6415     | 0.249185    | 0.899687   
8400        | 11.6574     | 0.242826    | 0.901563   
8600        | 11.6732     | 0.244645    | 0.902188   
8800        | 11.6891     | 0.25244     | 0.897031   
9000        | 11.7049     | 0.229808    | 0.91       
9200        | 11.7207     | 0.252052    | 0.901563   
9400        | 11.7366     | 0.227026    | 0.907344   
9600        | 11.7524     | 0.237783    | 0.908594   
9800        | 11.7683     | 0.238024    | 0.907344   
10000       | 11.7841     | 0.245773    | 0.90875    
10200       | 11.7999     | 0.255968    | 0.898594   
10400       | 11.8158     | 0.260881    | 0.89375    
10600       | 11.8316     | 0.242486    | 0.902969   
10800       | 11.8475     | 0.237006    | 0.909844   
11000       | 11.8633     | 0.25224     | 0.902813   
11200       | 11.8791     | 0.235006    | 0.907188   
11400       | 11.895      | 0.249477    | 0.900469   
11600       | 11.9108     | 0.221155    | 0.912344   
11800       | 11.9267     | 0.234142    | 0.908594   
12000       | 11.9425     | 0.232436    | 0.905312   
12200       | 11.9583     | 0.238741    | 0.9        
12400       | 11.9742     | 0.232341    | 0.911563   
12600       | 11.99       | 0.248342    | 0.898438   
