Batch       | Batch_float | loss        | acc        
------------+-------------+-------------+------------
200         | 5.00792     | 0.288204    | 0.88625    
400         | 5.02376     | 0.289288    | 0.888906   
600         | 5.0396      | 0.270694    | 0.896875   
800         | 5.05544     | 0.281317    | 0.8875     
1000        | 5.07128     | 0.294955    | 0.877188   
1200        | 5.08712     | 0.292827    | 0.884062   
1400        | 5.10296     | 0.277672    | 0.889844   
1600        | 5.1188      | 0.28666     | 0.885938   
1800        | 5.13464     | 0.281489    | 0.894062   
2000        | 5.15048     | 0.306812    | 0.876406   
2200        | 5.16632     | 0.28368     | 0.887188   
2400        | 5.18216     | 0.277983    | 0.883906   
2600        | 5.198       | 0.298936    | 0.882656   
2800        | 5.21384     | 0.290964    | 0.885312   
3000        | 5.22968     | 0.276948    | 0.891563   
3200        | 5.24553     | 0.293328    | 0.881719   
3400        | 5.26137     | 0.298652    | 0.877188   
3600        | 5.27721     | 0.281528    | 0.885625   
3800        | 5.29305     | 0.29628     | 0.881406   
4000        | 5.30889     | 0.289457    | 0.883906   
4200        | 5.32473     | 0.276197    | 0.893906   
4400        | 5.34057     | 0.278714    | 0.884844   
4600        | 5.35641     | 0.301995    | 0.879844   
4800        | 5.37225     | 0.283098    | 0.888437   
5000        | 5.38809     | 0.27164     | 0.888125   
5200        | 5.40393     | 0.293811    | 0.883594   
5400        | 5.41977     | 0.282167    | 0.887656   
5600        | 5.43561     | 0.287164    | 0.883906   
5800        | 5.45145     | 0.288455    | 0.88375    
6000        | 5.46729     | 0.294669    | 0.881719   
6200        | 5.48313     | 0.291253    | 0.886875   
6400        | 5.49897     | 0.283819    | 0.88625    
6600        | 5.51481     | 0.271742    | 0.88875    
6800        | 5.53065     | 0.283779    | 0.887344   
7000        | 5.54649     | 0.277424    | 0.889375   
7200        | 5.56233     | 0.291772    | 0.882656   
7400        | 5.57817     | 0.28113     | 0.888281   
7600        | 5.59401     | 0.28766     | 0.887344   
7800        | 5.60985     | 0.273273    | 0.892656   
8000        | 5.62569     | 0.292186    | 0.879219   
8200        | 5.64153     | 0.2907      | 0.881094   
8400        | 5.65737     | 0.288216    | 0.889531   
8600        | 5.67321     | 0.282679    | 0.884844   
8800        | 5.68905     | 0.284929    | 0.890781   
9000        | 5.70489     | 0.282153    | 0.887969   
9200        | 5.72073     | 0.28082     | 0.889219   
9400        | 5.73658     | 0.28561     | 0.886563   
9600        | 5.75242     | 0.273788    | 0.890781   
9800        | 5.76826     | 0.28244     | 0.889219   
10000       | 5.7841      | 0.278185    | 0.887188   
10200       | 5.79994     | 0.283121    | 0.884375   
10400       | 5.81578     | 0.296039    | 0.88125    
10600       | 5.83162     | 0.287158    | 0.885156   
10800       | 5.84746     | 0.284927    | 0.883594   
11000       | 5.8633      | 0.284625    | 0.885469   
11200       | 5.87914     | 0.294748    | 0.884531   
11400       | 5.89498     | 0.288226    | 0.887656   
11600       | 5.91082     | 0.278599    | 0.886875   
11800       | 5.92666     | 0.292251    | 0.883437   
12000       | 5.9425      | 0.289358    | 0.883281   
12200       | 5.95834     | 0.301898    | 0.883906   
12400       | 5.97418     | 0.278432    | 0.895312   
12600       | 5.99002     | 0.283582    | 0.890312   
