Batch       | Batch_float | loss        | acc        
------------+-------------+-------------+------------
200         | 0.00792016  | 0.702479    | 0.584219   
400         | 0.0237605   | 0.646026    | 0.646094   
600         | 0.0396008   | 0.644057    | 0.650625   
800         | 0.0554412   | 0.637181    | 0.652188   
1000        | 0.0712815   | 0.626775    | 0.669375   
1200        | 0.0871218   | 0.620717    | 0.682031   
1400        | 0.102962    | 0.615088    | 0.680625   
1600        | 0.118802    | 0.623026    | 0.678906   
1800        | 0.134643    | 0.626422    | 0.671094   
2000        | 0.150483    | 0.605365    | 0.692969   
2200        | 0.166323    | 0.60993     | 0.684688   
2400        | 0.182164    | 0.614913    | 0.673438   
2600        | 0.198004    | 0.606262    | 0.685312   
2800        | 0.213844    | 0.601516    | 0.694844   
3000        | 0.229685    | 0.603329    | 0.691875   
3200        | 0.245525    | 0.598334    | 0.69125    
3400        | 0.261365    | 0.603023    | 0.681406   
3600        | 0.277206    | 0.605052    | 0.682656   
3800        | 0.293046    | 0.594248    | 0.696562   
4000        | 0.308886    | 0.593805    | 0.693281   
4200        | 0.324727    | 0.592432    | 0.691875   
4400        | 0.340567    | 0.592206    | 0.694531   
4600        | 0.356407    | 0.582624    | 0.702656   
4800        | 0.372248    | 0.589629    | 0.697656   
5000        | 0.388088    | 0.57956     | 0.704844   
5200        | 0.403928    | 0.589229    | 0.695156   
5400        | 0.419769    | 0.586745    | 0.693281   
5600        | 0.435609    | 0.581282    | 0.701094   
5800        | 0.451449    | 0.568773    | 0.715781   
6000        | 0.46729     | 0.581903    | 0.694844   
6200        | 0.48313     | 0.583854    | 0.698594   
6400        | 0.49897     | 0.58801     | 0.694688   
6600        | 0.514811    | 0.587005    | 0.687656   
6800        | 0.530651    | 0.584225    | 0.698281   
7000        | 0.546491    | 0.567199    | 0.715313   
7200        | 0.562332    | 0.574977    | 0.710625   
7400        | 0.578172    | 0.577524    | 0.696719   
7600        | 0.594012    | 0.563894    | 0.710781   
7800        | 0.609853    | 0.56959     | 0.702344   
8000        | 0.625693    | 0.568893    | 0.709844   
8200        | 0.641533    | 0.564971    | 0.711562   
8400        | 0.657374    | 0.572018    | 0.71       
8600        | 0.673214    | 0.570093    | 0.703125   
8800        | 0.689054    | 0.560075    | 0.704219   
9000        | 0.704895    | 0.553761    | 0.71625    
9200        | 0.720735    | 0.566505    | 0.707812   
9400        | 0.736575    | 0.559408    | 0.712031   
9600        | 0.752416    | 0.553275    | 0.716562   
9800        | 0.768256    | 0.547034    | 0.723125   
10000       | 0.784096    | 0.547488    | 0.722344   
10200       | 0.799937    | 0.558566    | 0.710938   
10400       | 0.815777    | 0.534889    | 0.73375    
10600       | 0.831617    | 0.543077    | 0.720156   
10800       | 0.847458    | 0.543666    | 0.720469   
11000       | 0.863298    | 0.544616    | 0.722656   
11200       | 0.879138    | 0.546796    | 0.716406   
11400       | 0.894979    | 0.534563    | 0.735469   
11600       | 0.910819    | 0.517163    | 0.739844   
11800       | 0.926659    | 0.541332    | 0.720313   
12000       | 0.9425      | 0.520453    | 0.741563   
12200       | 0.95834     | 0.529476    | 0.735469   
12400       | 0.97418     | 0.526001    | 0.734219   
12600       | 0.990021    | 0.526535    | 0.737969   
