Batch       | Batch_float | loss        | acc        
------------+-------------+-------------+------------
200         | 2.00792     | 0.362052    | 0.848281   
400         | 2.02376     | 0.364609    | 0.843906   
600         | 2.0396      | 0.340364    | 0.854062   
800         | 2.05544     | 0.352086    | 0.848594   
1000        | 2.07128     | 0.371831    | 0.844531   
1200        | 2.08712     | 0.352594    | 0.850469   
1400        | 2.10296     | 0.343952    | 0.850938   
1600        | 2.1188      | 0.353939    | 0.848906   
1800        | 2.13464     | 0.347563    | 0.85375    
2000        | 2.15048     | 0.3521      | 0.853281   
2200        | 2.16632     | 0.343699    | 0.857344   
2400        | 2.18216     | 0.340107    | 0.863125   
2600        | 2.198       | 0.352316    | 0.84875    
2800        | 2.21384     | 0.349861    | 0.854062   
3000        | 2.22968     | 0.35139     | 0.855781   
3200        | 2.24553     | 0.337889    | 0.85875    
3400        | 2.26137     | 0.346221    | 0.854062   
3600        | 2.27721     | 0.342592    | 0.857344   
3800        | 2.29305     | 0.344663    | 0.858594   
4000        | 2.30889     | 0.354485    | 0.845781   
4200        | 2.32473     | 0.340744    | 0.857656   
4400        | 2.34057     | 0.336034    | 0.860313   
4600        | 2.35641     | 0.339933    | 0.855469   
4800        | 2.37225     | 0.340862    | 0.85375    
5000        | 2.38809     | 0.351106    | 0.855313   
5200        | 2.40393     | 0.338136    | 0.854531   
5400        | 2.41977     | 0.341746    | 0.855625   
5600        | 2.43561     | 0.33702     | 0.857187   
5800        | 2.45145     | 0.343258    | 0.853437   
6000        | 2.46729     | 0.327905    | 0.862187   
6200        | 2.48313     | 0.340279    | 0.859688   
6400        | 2.49897     | 0.338969    | 0.859844   
6600        | 2.51481     | 0.341379    | 0.859062   
6800        | 2.53065     | 0.324749    | 0.866875   
7000        | 2.54649     | 0.344551    | 0.860469   
7200        | 2.56233     | 0.332073    | 0.863594   
7400        | 2.57817     | 0.323739    | 0.865781   
7600        | 2.59401     | 0.336472    | 0.857969   
7800        | 2.60985     | 0.346308    | 0.8575     
8000        | 2.62569     | 0.351493    | 0.850781   
8200        | 2.64153     | 0.315754    | 0.874219   
8400        | 2.65737     | 0.33258     | 0.858594   
8600        | 2.67321     | 0.328332    | 0.864531   
8800        | 2.68905     | 0.321721    | 0.867188   
9000        | 2.70489     | 0.336334    | 0.858281   
9200        | 2.72073     | 0.326379    | 0.865781   
9400        | 2.73658     | 0.331507    | 0.860469   
9600        | 2.75242     | 0.330508    | 0.863281   
9800        | 2.76826     | 0.336803    | 0.860156   
10000       | 2.7841      | 0.33631     | 0.861719   
10200       | 2.79994     | 0.331341    | 0.860469   
10400       | 2.81578     | 0.324704    | 0.867812   
10600       | 2.83162     | 0.339447    | 0.857187   
10800       | 2.84746     | 0.311756    | 0.871719   
11000       | 2.8633      | 0.329055    | 0.855781   
11200       | 2.87914     | 0.333197    | 0.861875   
11400       | 2.89498     | 0.319524    | 0.867344   
11600       | 2.91082     | 0.329713    | 0.865313   
11800       | 2.92666     | 0.319377    | 0.8625     
12000       | 2.9425      | 0.323546    | 0.865313   
12200       | 2.95834     | 0.329406    | 0.859062   
12400       | 2.97418     | 0.341306    | 0.860938   
12600       | 2.99002     | 0.309186    | 0.875469   
