Batch       | Batch_float | loss        | acc        
------------+-------------+-------------+------------
200         | 12.0079     | 0.223351    | 0.914375   
400         | 12.0238     | 0.232838    | 0.907344   
600         | 12.0396     | 0.227337    | 0.908438   
800         | 12.0554     | 0.234923    | 0.908594   
1000        | 12.0713     | 0.227722    | 0.911406   
1200        | 12.0871     | 0.229436    | 0.9125     
1400        | 12.103      | 0.226287    | 0.915312   
1600        | 12.1188     | 0.245538    | 0.902656   
1800        | 12.1346     | 0.246736    | 0.900937   
2000        | 12.1505     | 0.236131    | 0.907969   
2200        | 12.1663     | 0.2253      | 0.910312   
2400        | 12.1822     | 0.231374    | 0.909062   
2600        | 12.198      | 0.234522    | 0.904531   
2800        | 12.2138     | 0.234622    | 0.908281   
3000        | 12.2297     | 0.244899    | 0.904062   
3200        | 12.2455     | 0.235143    | 0.906406   
3400        | 12.2614     | 0.240857    | 0.908281   
3600        | 12.2772     | 0.240198    | 0.911719   
3800        | 12.293      | 0.245876    | 0.899531   
4000        | 12.3089     | 0.224837    | 0.910156   
4200        | 12.3247     | 0.229488    | 0.906563   
4400        | 12.3406     | 0.229271    | 0.905469   
4600        | 12.3564     | 0.238115    | 0.906875   
4800        | 12.3722     | 0.228621    | 0.906563   
5000        | 12.3881     | 0.227795    | 0.910625   
5200        | 12.4039     | 0.238355    | 0.904687   
5400        | 12.4198     | 0.234314    | 0.909219   
5600        | 12.4356     | 0.231127    | 0.9075     
5800        | 12.4514     | 0.233205    | 0.907188   
6000        | 12.4673     | 0.229355    | 0.905625   
6200        | 12.4831     | 0.229421    | 0.905781   
6400        | 12.499      | 0.227021    | 0.90875    
6600        | 12.5148     | 0.236916    | 0.901406   
6800        | 12.5307     | 0.244821    | 0.901406   
7000        | 12.5465     | 0.2321      | 0.906094   
7200        | 12.5623     | 0.232096    | 0.905469   
7400        | 12.5782     | 0.235979    | 0.908438   
7600        | 12.594      | 0.225958    | 0.907031   
7800        | 12.6099     | 0.228927    | 0.906406   
8000        | 12.6257     | 0.22904     | 0.909687   
8200        | 12.6415     | 0.225645    | 0.91125    
8400        | 12.6574     | 0.221044    | 0.912344   
8600        | 12.6732     | 0.230111    | 0.90625    
8800        | 12.6891     | 0.230619    | 0.906094   
9000        | 12.7049     | 0.234193    | 0.902656   
9200        | 12.7207     | 0.214712    | 0.912188   
9400        | 12.7366     | 0.224894    | 0.90875    
9600        | 12.7524     | 0.238722    | 0.905156   
9800        | 12.7683     | 0.22662     | 0.907188   
10000       | 12.7841     | 0.23195     | 0.903125   
10200       | 12.7999     | 0.23        | 0.907969   
10400       | 12.8158     | 0.230938    | 0.907031   
10600       | 12.8316     | 0.216837    | 0.912031   
10800       | 12.8475     | 0.227938    | 0.906719   
11000       | 12.8633     | 0.241228    | 0.904062   
11200       | 12.8791     | 0.236546    | 0.901719   
11400       | 12.895      | 0.2148      | 0.914844   
11600       | 12.9108     | 0.221682    | 0.91375    
11800       | 12.9267     | 0.217566    | 0.914844   
12000       | 12.9425     | 0.238599    | 0.9        
12200       | 12.9583     | 0.226432    | 0.907344   
12400       | 12.9742     | 0.238959    | 0.90375    
12600       | 12.99       | 0.221826    | 0.911094   
