Batch       | Batch_float | loss        | acc        
------------+-------------+-------------+------------
200         | 9.00792     | 0.260032    | 0.895625   
400         | 9.02376     | 0.265559    | 0.895625   
600         | 9.0396      | 0.264981    | 0.8975     
800         | 9.05544     | 0.276248    | 0.893125   
1000        | 9.07128     | 0.267461    | 0.892969   
1200        | 9.08712     | 0.255776    | 0.893125   
1400        | 9.10296     | 0.260426    | 0.897344   
1600        | 9.1188      | 0.265196    | 0.893906   
1800        | 9.13464     | 0.263221    | 0.897969   
2000        | 9.15048     | 0.255955    | 0.898594   
2200        | 9.16632     | 0.257826    | 0.899687   
2400        | 9.18216     | 0.255007    | 0.899687   
2600        | 9.198       | 0.267453    | 0.892031   
2800        | 9.21384     | 0.263375    | 0.896406   
3000        | 9.22968     | 0.266056    | 0.895781   
3200        | 9.24553     | 0.261063    | 0.896406   
3400        | 9.26137     | 0.276182    | 0.892188   
3600        | 9.27721     | 0.255544    | 0.898594   
3800        | 9.29305     | 0.264293    | 0.897813   
4000        | 9.30889     | 0.257976    | 0.899687   
4200        | 9.32473     | 0.273097    | 0.892188   
4400        | 9.34057     | 0.273128    | 0.88875    
4600        | 9.35641     | 0.273507    | 0.888906   
4800        | 9.37225     | 0.272867    | 0.8925     
5000        | 9.38809     | 0.257809    | 0.899062   
5200        | 9.40393     | 0.259839    | 0.896719   
5400        | 9.41977     | 0.278992    | 0.894844   
5600        | 9.43561     | 0.259731    | 0.896719   
5800        | 9.45145     | 0.254979    | 0.901406   
6000        | 9.46729     | 0.273195    | 0.894531   
6200        | 9.48313     | 0.265175    | 0.893281   
6400        | 9.49897     | 0.253229    | 0.901719   
6600        | 9.51481     | 0.255564    | 0.89875    
6800        | 9.53065     | 0.260344    | 0.89625    
7000        | 9.54649     | 0.248164    | 0.903594   
7200        | 9.56233     | 0.254722    | 0.899062   
7400        | 9.57817     | 0.279663    | 0.886094   
7600        | 9.59401     | 0.257772    | 0.901719   
7800        | 9.60985     | 0.257802    | 0.903594   
8000        | 9.62569     | 0.252509    | 0.902344   
8200        | 9.64153     | 0.266157    | 0.893906   
8400        | 9.65737     | 0.260376    | 0.895938   
8600        | 9.67321     | 0.25537     | 0.896875   
8800        | 9.68905     | 0.255024    | 0.899062   
9000        | 9.70489     | 0.249631    | 0.897813   
9200        | 9.72073     | 0.256606    | 0.897656   
9400        | 9.73658     | 0.251136    | 0.901563   
9600        | 9.75242     | 0.270141    | 0.891563   
9800        | 9.76826     | 0.256696    | 0.896406   
10000       | 9.7841      | 0.258054    | 0.896406   
10200       | 9.79994     | 0.261076    | 0.897031   
10400       | 9.81578     | 0.261845    | 0.898125   
10600       | 9.83162     | 0.253995    | 0.900312   
10800       | 9.84746     | 0.261713    | 0.899219   
11000       | 9.8633      | 0.273957    | 0.89125    
11200       | 9.87914     | 0.26351     | 0.900312   
11400       | 9.89498     | 0.260007    | 0.895      
11600       | 9.91082     | 0.25818     | 0.895625   
11800       | 9.92666     | 0.257151    | 0.904219   
12000       | 9.9425      | 0.256763    | 0.897813   
12200       | 9.95834     | 0.258682    | 0.897344   
12400       | 9.97418     | 0.252816    | 0.897656   
12600       | 9.99002     | 0.258651    | 0.896875   
