Batch       | Batch_float | loss        | acc        
------------+-------------+-------------+------------
200         | 1.00792     | 0.513983    | 0.739062   
400         | 1.02376     | 0.506071    | 0.74875    
600         | 1.0396      | 0.51308     | 0.743906   
800         | 1.05544     | 0.514447    | 0.745313   
1000        | 1.07128     | 0.502313    | 0.755625   
1200        | 1.08712     | 0.490874    | 0.762188   
1400        | 1.10296     | 0.496519    | 0.763906   
1600        | 1.1188      | 0.491755    | 0.761875   
1800        | 1.13464     | 0.498014    | 0.759219   
2000        | 1.15048     | 0.486814    | 0.761094   
2200        | 1.16632     | 0.479418    | 0.766719   
2400        | 1.18216     | 0.467255    | 0.774531   
2600        | 1.198       | 0.469907    | 0.770781   
2800        | 1.21384     | 0.47518     | 0.770156   
3000        | 1.22968     | 0.46402     | 0.786406   
3200        | 1.24553     | 0.452919    | 0.785781   
3400        | 1.26137     | 0.465683    | 0.775937   
3600        | 1.27721     | 0.465635    | 0.778125   
3800        | 1.29305     | 0.46266     | 0.780312   
4000        | 1.30889     | 0.447552    | 0.789219   
4200        | 1.32473     | 0.450197    | 0.788125   
4400        | 1.34057     | 0.445574    | 0.800625   
4600        | 1.35641     | 0.424336    | 0.809219   
4800        | 1.37225     | 0.43282     | 0.797188   
5000        | 1.38809     | 0.437909    | 0.799531   
5200        | 1.40393     | 0.419593    | 0.807813   
5400        | 1.41977     | 0.424712    | 0.801094   
5600        | 1.43561     | 0.415482    | 0.808594   
5800        | 1.45145     | 0.421464    | 0.810156   
6000        | 1.46729     | 0.414021    | 0.807969   
6200        | 1.48313     | 0.411828    | 0.807813   
6400        | 1.49897     | 0.41649     | 0.813125   
6600        | 1.51481     | 0.413203    | 0.813906   
6800        | 1.53065     | 0.404509    | 0.817187   
7000        | 1.54649     | 0.396705    | 0.8225     
7200        | 1.56233     | 0.40213     | 0.819688   
7400        | 1.57817     | 0.38622     | 0.834375   
7600        | 1.59401     | 0.395063    | 0.825156   
7800        | 1.60985     | 0.402877    | 0.820312   
8000        | 1.62569     | 0.391021    | 0.828594   
8200        | 1.64153     | 0.392839    | 0.832031   
8400        | 1.65737     | 0.383057    | 0.835938   
8600        | 1.67321     | 0.394809    | 0.825937   
8800        | 1.68905     | 0.386168    | 0.829531   
9000        | 1.70489     | 0.388835    | 0.830625   
9200        | 1.72073     | 0.375517    | 0.835469   
9400        | 1.73658     | 0.385276    | 0.826875   
9600        | 1.75242     | 0.373017    | 0.837344   
9800        | 1.76826     | 0.375917    | 0.839219   
10000       | 1.7841      | 0.376101    | 0.839375   
10200       | 1.79994     | 0.369186    | 0.839375   
10400       | 1.81578     | 0.36919     | 0.836562   
10600       | 1.83162     | 0.365672    | 0.840781   
10800       | 1.84746     | 0.361245    | 0.843281   
11000       | 1.8633      | 0.371714    | 0.835313   
11200       | 1.87914     | 0.355408    | 0.850938   
11400       | 1.89498     | 0.357111    | 0.846719   
11600       | 1.91082     | 0.371967    | 0.840781   
11800       | 1.92666     | 0.353189    | 0.849375   
12000       | 1.9425      | 0.3614      | 0.842187   
12200       | 1.95834     | 0.376023    | 0.834688   
12400       | 1.97418     | 0.360163    | 0.8425     
12600       | 1.99002     | 0.361367    | 0.844063   
