Batch       | Batch_float | loss        | acc        
------------+-------------+-------------+------------
200         | 4.00792     | 0.292896    | 0.882031   
400         | 4.02376     | 0.295549    | 0.880781   
600         | 4.0396      | 0.310578    | 0.876563   
800         | 4.05544     | 0.299754    | 0.877812   
1000        | 4.07128     | 0.291717    | 0.884062   
1200        | 4.08712     | 0.305992    | 0.876094   
1400        | 4.10296     | 0.298463    | 0.878906   
1600        | 4.1188      | 0.306414    | 0.873906   
1800        | 4.13464     | 0.312646    | 0.872656   
2000        | 4.15048     | 0.313226    | 0.874844   
2200        | 4.16632     | 0.292358    | 0.878281   
2400        | 4.18216     | 0.299012    | 0.881719   
2600        | 4.198       | 0.297481    | 0.877188   
2800        | 4.21384     | 0.300719    | 0.878437   
3000        | 4.22968     | 0.299033    | 0.876094   
3200        | 4.24553     | 0.286547    | 0.885938   
3400        | 4.26137     | 0.297708    | 0.885938   
3600        | 4.27721     | 0.28775     | 0.887188   
3800        | 4.29305     | 0.295702    | 0.876406   
4000        | 4.30889     | 0.2991      | 0.882344   
4200        | 4.32473     | 0.295109    | 0.8825     
4400        | 4.34057     | 0.296043    | 0.881094   
4600        | 4.35641     | 0.305056    | 0.882656   
4800        | 4.37225     | 0.298966    | 0.88       
5000        | 4.38809     | 0.291911    | 0.882656   
5200        | 4.40393     | 0.306282    | 0.874844   
5400        | 4.41977     | 0.305006    | 0.875313   
5600        | 4.43561     | 0.288676    | 0.879687   
5800        | 4.45145     | 0.291822    | 0.882344   
6000        | 4.46729     | 0.306588    | 0.8775     
6200        | 4.48313     | 0.300906    | 0.876875   
6400        | 4.49897     | 0.299243    | 0.874844   
6600        | 4.51481     | 0.305651    | 0.873125   
6800        | 4.53065     | 0.29265     | 0.879531   
7000        | 4.54649     | 0.29282     | 0.881563   
7200        | 4.56233     | 0.280786    | 0.888125   
7400        | 4.57817     | 0.288404    | 0.882812   
7600        | 4.59401     | 0.294284    | 0.882031   
7800        | 4.60985     | 0.296165    | 0.884219   
8000        | 4.62569     | 0.288748    | 0.882812   
8200        | 4.64153     | 0.29521     | 0.882812   
8400        | 4.65737     | 0.289178    | 0.882969   
8600        | 4.67321     | 0.293347    | 0.885469   
8800        | 4.68905     | 0.294128    | 0.882969   
9000        | 4.70489     | 0.292385    | 0.880469   
9200        | 4.72073     | 0.302552    | 0.880156   
9400        | 4.73658     | 0.283525    | 0.887969   
9600        | 4.75242     | 0.281556    | 0.890469   
9800        | 4.76826     | 0.312972    | 0.871406   
10000       | 4.7841      | 0.29339     | 0.884687   
10200       | 4.79994     | 0.295621    | 0.877344   
10400       | 4.81578     | 0.303486    | 0.879062   
10600       | 4.83162     | 0.302555    | 0.878281   
10800       | 4.84746     | 0.294691    | 0.877188   
11000       | 4.8633      | 0.3079      | 0.874219   
11200       | 4.87914     | 0.28793     | 0.884687   
11400       | 4.89498     | 0.300926    | 0.880781   
11600       | 4.91082     | 0.294559    | 0.882656   
11800       | 4.92666     | 0.286756    | 0.886875   
12000       | 4.9425      | 0.289931    | 0.884062   
12200       | 4.95834     | 0.301192    | 0.879531   
12400       | 4.97418     | 0.284643    | 0.885781   
12600       | 4.99002     | 0.284444    | 0.885781   
