Batch       | Batch_float | loss        | acc        
------------+-------------+-------------+------------
200         | 6.00792     | 0.263343    | 0.896719   
400         | 6.02376     | 0.29602     | 0.882188   
600         | 6.0396      | 0.279691    | 0.884531   
800         | 6.05544     | 0.275031    | 0.893594   
1000        | 6.07128     | 0.272754    | 0.89125    
1200        | 6.08712     | 0.276672    | 0.891406   
1400        | 6.10296     | 0.283684    | 0.88125    
1600        | 6.1188      | 0.287975    | 0.886719   
1800        | 6.13464     | 0.264994    | 0.894531   
2000        | 6.15048     | 0.27597     | 0.895      
2200        | 6.16632     | 0.284252    | 0.889687   
2400        | 6.18216     | 0.289287    | 0.884219   
2600        | 6.198       | 0.271406    | 0.890469   
2800        | 6.21384     | 0.284365    | 0.886094   
3000        | 6.22968     | 0.289298    | 0.885938   
3200        | 6.24553     | 0.273318    | 0.893281   
3400        | 6.26137     | 0.281623    | 0.888125   
3600        | 6.27721     | 0.2813      | 0.886875   
3800        | 6.29305     | 0.274293    | 0.894531   
4000        | 6.30889     | 0.283323    | 0.885938   
4200        | 6.32473     | 0.281674    | 0.886875   
4400        | 6.34057     | 0.281899    | 0.884844   
4600        | 6.35641     | 0.282611    | 0.887969   
4800        | 6.37225     | 0.289341    | 0.88       
5000        | 6.38809     | 0.273926    | 0.891563   
5200        | 6.40393     | 0.283152    | 0.884844   
5400        | 6.41977     | 0.282416    | 0.892813   
5600        | 6.43561     | 0.279368    | 0.887969   
5800        | 6.45145     | 0.276601    | 0.890938   
6000        | 6.46729     | 0.277553    | 0.881406   
6200        | 6.48313     | 0.277773    | 0.8875     
6400        | 6.49897     | 0.275627    | 0.889375   
6600        | 6.51481     | 0.276924    | 0.889062   
6800        | 6.53065     | 0.282926    | 0.88625    
7000        | 6.54649     | 0.280693    | 0.888437   
7200        | 6.56233     | 0.282005    | 0.8875     
7400        | 6.57817     | 0.271529    | 0.893281   
7600        | 6.59401     | 0.273814    | 0.891719   
7800        | 6.60985     | 0.284126    | 0.887188   
8000        | 6.62569     | 0.278121    | 0.890781   
8200        | 6.64153     | 0.269358    | 0.897656   
8400        | 6.65737     | 0.273083    | 0.892344   
8600        | 6.67321     | 0.269055    | 0.89375    
8800        | 6.68905     | 0.268651    | 0.892813   
9000        | 6.70489     | 0.272903    | 0.892813   
9200        | 6.72073     | 0.271021    | 0.895938   
9400        | 6.73658     | 0.280712    | 0.891875   
9600        | 6.75242     | 0.289501    | 0.889219   
9800        | 6.76826     | 0.283747    | 0.89       
10000       | 6.7841      | 0.283255    | 0.889375   
10200       | 6.79994     | 0.275763    | 0.886406   
10400       | 6.81578     | 0.26353     | 0.896406   
10600       | 6.83162     | 0.265553    | 0.891094   
10800       | 6.84746     | 0.278759    | 0.88875    
11000       | 6.8633      | 0.292515    | 0.882344   
11200       | 6.87914     | 0.284098    | 0.886094   
11400       | 6.89498     | 0.266844    | 0.891875   
11600       | 6.91082     | 0.273536    | 0.894531   
11800       | 6.92666     | 0.278078    | 0.886719   
12000       | 6.9425      | 0.282444    | 0.887656   
12200       | 6.95834     | 0.275961    | 0.889375   
12400       | 6.97418     | 0.275155    | 0.892969   
12600       | 6.99002     | 0.273499    | 0.894375   
