Batch       | Batch_float | loss        | acc        
------------+-------------+-------------+------------
200         | 7.00792     | 0.273282    | 0.889062   
400         | 7.02376     | 0.283076    | 0.889062   
600         | 7.0396      | 0.276932    | 0.892656   
800         | 7.05544     | 0.271795    | 0.889375   
1000        | 7.07128     | 0.266073    | 0.892813   
1200        | 7.08712     | 0.275245    | 0.893906   
1400        | 7.10296     | 0.265456    | 0.897969   
1600        | 7.1188      | 0.279076    | 0.885312   
1800        | 7.13464     | 0.271272    | 0.892188   
2000        | 7.15048     | 0.273014    | 0.889687   
2200        | 7.16632     | 0.278318    | 0.888594   
2400        | 7.18216     | 0.272443    | 0.895469   
2600        | 7.198       | 0.266844    | 0.892969   
2800        | 7.21384     | 0.267689    | 0.893594   
3000        | 7.22968     | 0.274283    | 0.893281   
3200        | 7.24553     | 0.275192    | 0.891406   
3400        | 7.26137     | 0.265638    | 0.893906   
3600        | 7.27721     | 0.278652    | 0.887031   
3800        | 7.29305     | 0.264153    | 0.898281   
4000        | 7.30889     | 0.265932    | 0.897344   
4200        | 7.32473     | 0.276477    | 0.88875    
4400        | 7.34057     | 0.278774    | 0.888281   
4600        | 7.35641     | 0.278284    | 0.887344   
4800        | 7.37225     | 0.262709    | 0.893437   
5000        | 7.38809     | 0.268554    | 0.895938   
5200        | 7.40393     | 0.270381    | 0.895      
5400        | 7.41977     | 0.263991    | 0.896406   
5600        | 7.43561     | 0.260445    | 0.896094   
5800        | 7.45145     | 0.274617    | 0.892813   
6000        | 7.46729     | 0.262721    | 0.895938   
6200        | 7.48313     | 0.276725    | 0.889531   
6400        | 7.49897     | 0.276256    | 0.892969   
6600        | 7.51481     | 0.266963    | 0.890312   
6800        | 7.53065     | 0.266688    | 0.892656   
7000        | 7.54649     | 0.278766    | 0.89       
7200        | 7.56233     | 0.268873    | 0.892031   
7400        | 7.57817     | 0.265095    | 0.894375   
7600        | 7.59401     | 0.28627     | 0.885781   
7800        | 7.60985     | 0.284879    | 0.884687   
8000        | 7.62569     | 0.288202    | 0.888437   
8200        | 7.64153     | 0.271818    | 0.895      
8400        | 7.65737     | 0.280783    | 0.884375   
8600        | 7.67321     | 0.268585    | 0.890938   
8800        | 7.68905     | 0.270985    | 0.892344   
9000        | 7.70489     | 0.266256    | 0.895156   
9200        | 7.72073     | 0.270315    | 0.892969   
9400        | 7.73658     | 0.282356    | 0.889219   
9600        | 7.75242     | 0.281303    | 0.88875    
9800        | 7.76826     | 0.278328    | 0.888437   
10000       | 7.7841      | 0.274547    | 0.889219   
10200       | 7.79994     | 0.269329    | 0.890625   
10400       | 7.81578     | 0.279625    | 0.891719   
10600       | 7.83162     | 0.267554    | 0.894219   
10800       | 7.84746     | 0.264379    | 0.894062   
11000       | 7.8633      | 0.266654    | 0.897188   
11200       | 7.87914     | 0.277143    | 0.891406   
11400       | 7.89498     | 0.277724    | 0.887656   
11600       | 7.91082     | 0.272992    | 0.896563   
11800       | 7.92666     | 0.274095    | 0.889375   
12000       | 7.9425      | 0.271689    | 0.89125    
12200       | 7.95834     | 0.270275    | 0.895625   
12400       | 7.97418     | 0.268749    | 0.896406   
12600       | 7.99002     | 0.282085    | 0.88375    
